Month_Year,Hospital_Name,Hospital_ID,Hospital_Department,ReferralType,TotalReferrals
"Jan-2018","Alliance Mater Private Cork Radiology","9116","Cardiac Calcium Scoring","General Referral",5
"Jan-2018","Alliance Mater Private Cork Radiology","9116","CT","General Referral",13
"Jan-2018","Alliance Mater Private Cork Radiology","9116","MRI","General Referral",97
"Jan-2018","Alliance Mater Private Cork Radiology","9116","Ultrasound","General Referral",56
"Jan-2018","Alliance Mater Private Cork Radiology","9116","X-Ray","General Referral",12
"Jan-2018","Alliance Medical Charter Medical Radiology","9104","CT","General Referral",7
"Jan-2018","Alliance Medical Charter Medical Radiology","9104","DXA","General Referral",13
"Jan-2018","Alliance Medical Charter Medical Radiology","9104","MRI","General Referral",36
"Jan-2018","Alliance Medical Charter Medical Radiology","9104","Ultrasound","General Referral",22
"Jan-2018","Alliance Medical Charter Medical Radiology","9104","X-Ray","General Referral",27
"Jan-2018","Alliance Medical Clane Hospital Radiology","9105","CT","General Referral",10
"Jan-2018","Alliance Medical Clane Hospital Radiology","9105","DXA","General Referral",2
"Jan-2018","Alliance Medical Clane Hospital Radiology","9105","MRI","General Referral",68
"Jan-2018","Alliance Medical Clane Hospital Radiology","9105","Ultrasound","General Referral",21
"Jan-2018","Alliance Medical Clane Hospital Radiology","9105","X-Ray","General Referral",1
"Jan-2018","Alliance Medical Mercy Hospital MRI Cork","9114","MRI","General Referral",3
"Jan-2018","Alliance Medical Merlin Park CT and MRI","9106","MRI","General Referral",28
"Jan-2018","Alliance Medical MRI Bons Secours Hospital Tralee","9113","MRI","General Referral",77
"Jan-2018","Alliance Medical MRI Centre Ballinasloe","9107","MRI","General Referral",55
"Jan-2018","Alliance Medical MRI Centre Clonmel","9108","MRI","General Referral",6
"Jan-2018","Alliance Medical MRI Centre Drogheda","9111","MRI","General Referral",36
"Jan-2018","Alliance Medical MRI Centre Tullamore","9109","MRI","General Referral",11
"Jan-2018","Alliance Medical MRI Consultant Private Clinic CUH","9112","MRI","General Referral",16
"Jan-2018","Alliance Medical St Francis Mullingar","9110","DXA","General Referral",16
"Jan-2018","Alliance Medical St Francis Mullingar","9110","MRI","General Referral",30
"Jan-2018","Alliance Medical St Francis Mullingar","9110","Ultrasound","General Referral",12
"Jan-2018","Alliance Medical St Francis Mullingar","9110","X-Ray","General Referral",1
"Jan-2018","AMNCH","1049","Cardiology","General Referral",58
"Jan-2018","AMNCH","1049","Clinical Neurophysiology","General Referral",5
